web-scraper-order|web-scraper-start-url|all_titles|bed|bath|location|size|streeteasylink|streeteasylink-href|price|amenities|available|listed_date|description|build_amenities|nearby_transportation|nearby_transportation_2
1558669110-395|https://streeteasy.com/for-rent/downtown?page=25&sort_by=sqft_desc|20 River Terrace #23B|3 beds|3 baths|Rental Unit in Battery Park City|1,627 ft²|20 River Terrace #23B|https://streeteasy.com/building/the-solaire/23b|↓              $12,300                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|38 Days|Green By Design. No Fee Luxury Rentals The Solaire defines luxury, green living. The Solaire's LEED Platinum EB Certified Residences consist of elegantly appointed studio- three bedroom homes. Residences at The Solaire offer a blend of sophistication and sustainability. All environmentally sound apartments feature expansive layouts, naturally harvested building materials and innovative design features, providing abundant light, cleaner air, filtered water, and greater energy efficiency. Residents enjoy unparalleled lifestyle services and amenities. Building amenities include 24-hour concierge service, landscaped roof terrace with organic herb gardens, children's playroom featuring classes hosted by Creative Play, residents fitness center with complimentary daily classes and on-site parking with electric vehicle charging stations.|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Garage Parking                                              Green Building                                              Gym                                              Laundry in Building                                              Live-in Super                                              Parking Available                                              Storage Available|Ferry                   at World Financial Center Ferry Landing            0.11 miles|A          C          E          2          3          PATH                   at World Trade Center            0.42 miles
1558671677-750|https://streeteasy.com/for-rent/downtown?page=46&sort_by=sqft_desc|200 North End Avenue #29B|3 beds|3 baths|Rental Unit in Battery Park City|1,711 ft²|200 North End Avenue #29B|https://streeteasy.com/building/liberty-luxe/29b?featured=1|$14,900                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/15/2019|23 Days|Exquisite 3 BR / 3 BA Corner ApartmentSpacious, elegant, and majestic, this enormous 1,711 sqf apartment features floor to ceiling windows, marble counter tops, Viking stainless steel appliances, bamboo floors and cabinets, deluxe bathrooms, featuring standing glass showers and beautiful soaking tub options, walk-in closets, and sweeping views of the Hudson River. Just as exquisite as it is practical, this gorgeous apartment is the epitome of Manhattan real estate heaven!Welcome to Liberty Luxe and Liberty Green, beautifully set against the backdrop of Battery Park City's breathtaking gardens, landmarks, parks, recreation, and the storied Hudson River Promenade. These two magnificent new Green residences are changing the definition of sustainable New York luxury rental living, as they have achieved LEED Gold standards, the environmental responsibility is apparent throughout the design, materials, systems and amenities.Liberty Luxe and Liberty Green offer the ultimate in sophistication and service, including fully-attended lobbies, spacious, beautifully designed homes, top finishes, panoramic city and river views, and coveted social and recreational amenities. Discover our complimentary resident only fitness center today which for no additional fee offers an array of classes ranging from Zumba to yoga! The club also offers a private screening room, a phenomenal billiards room, two private massage therapy rooms, and more!Visit our Leasing Office at 200 North End Ave (Open 7 Days a week)|Community Recreation Facilities                                              Concierge                                              Green Building                                              Gym                                              Live-in Super                                              Parking Available|Ferry                   at World Financial Center Ferry Landing            0.14 miles|A          C          E          2          3          PATH                   at World Trade Center            0.35 miles
1558754212-1421|https://streeteasy.com/for-rent/downtown?page=51&sort_by=sqft_desc|20 River Terrace #23B|3 beds|3 baths|Rental Unit in Battery Park City|1,627 ft²|20 River Terrace #23B|https://streeteasy.com/building/the-solaire/23b?featured=1|↓              $12,300                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|39 Days|Green By Design. No Fee Luxury Rentals The Solaire defines luxury, green living. The Solaire's LEED Platinum EB Certified Residences consist of elegantly appointed studio- three bedroom homes. Residences at The Solaire offer a blend of sophistication and sustainability. All environmentally sound apartments feature expansive layouts, naturally harvested building materials and innovative design features, providing abundant light, cleaner air, filtered water, and greater energy efficiency. Residents enjoy unparalleled lifestyle services and amenities. Building amenities include 24-hour concierge service, landscaped roof terrace with organic herb gardens, children's playroom featuring classes hosted by Creative Play, residents fitness center with complimentary daily classes and on-site parking with electric vehicle charging stations.|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Garage Parking                                              Green Building                                              Gym                                              Laundry in Building                                              Live-in Super                                              Parking Available                                              Storage Available|Ferry                   at World Financial Center Ferry Landing            0.11 miles|A          C          E          2          3          PATH                   at World Trade Center            0.42 miles
1558667807-106|https://streeteasy.com/for-rent/downtown?page=4&sort_by=sqft_desc|110 Duane Street #3|4 beds|3 baths|Condo in Tribeca|3,900 ft²|110 Duane Street #3|https://streeteasy.com/building/110-duane-lofts/3|$25,000                for rent|Elevator                                                                                                                                                  Pets Allowed|7/1/2019|41 Days|"Vast loft home in recently-developped condo building offers much more than a comfortable and elegant lifestyle. The spacious living space of this 3-4 bedroom home has been designed with living functionality in mind. The loft is airy and bright. It's the perfect home for entertaining with a gorgeous open kitchen (designed by Boffi) with a large island for sharing happy times with friends. Of course, the kitchen fixtures, appliances and surfaces are of the highest quality and design. Each of the 3 full bathrooms brings refined luxury and style into the home. One serves the living room, dining area, media lounge and bonus room; another, wrapped in Savoy penny tiles, is a shared bath serving the two bedroom suite. And the magnificent master bath has a standing shower and separate tub with double sink vanity. The master bedroom's enormous walk-in closet has a secret door that leads directly into the standing shower so you can quietly sneak out of the room in the morning without disturbing a soul.This ""smart"" home allows temperature, sound and lighting flexibility from anywhere in the home, all from the touch of your Ipad. Near Duane Park and convenient to all Tribeca transportation, this private key-locked loft is the home of your dreams. The separate master suite and 2-bedroom suite are set back from the open living areas to give privacy and quiet to those tucked away in bed. Kitchen pantry, master bedroom closet and large laundry room complete the conveniences. There is a bonus area off the living room and an interior office or family room. Both of these could serve well as guest rooms or offices or even playrooms."|Laundry in Building|R          W                   at City Hall            0.17 miles|A          C          E          1          2          3                   at Chambers St            0.17 miles
1558668370-205|https://streeteasy.com/for-rent/downtown?page=18&sort_by=sqft_desc|159 Bleecker Street #PHB|4 beds|3 baths|Condo in Greenwich Village|2,000 ft²|159 Bleecker Street #PHB|https://streeteasy.com/building/159-bleecker-street-new_york/phb|$12,000                                  NO FEE|Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|8 Days|Bleecker/Thompson Penthouse now Available! Apartment Highlights:  SunfilledReal 4 Bedroom / 3 full bathroomsCondo-style finishes2 large terracesChestnut stained hardwood floors high ceilingsLots of closetspanoramic views Chef's kitchen with Stainless Steel appliances washer/dryer in unit  Building Features:Keyed Elevator into Penthouse floor Part-Time doorman Laundry Room Storage bins available (fee)* LandLord is offering 1 Month concession ** 12K is a Net Rent Gross Rent is $13K|Laundry in Building                                              Live-in Super                                              Storage Available                                              Virtual Doorman|1                   at Houston St            0.28 miles|C          E                   at Spring St            0.3 miles
1558668531-247|https://streeteasy.com/for-rent/downtown?page=16&sort_by=sqft_desc|200 North End Avenue #6PQ|4 beds|3 baths|Rental Unit in Battery Park City|2,125 ft²|200 North End Avenue #6PQ|https://streeteasy.com/building/liberty-luxe/6pq|$16,500                                  NO FEE|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|26 Days|Exquisite 4 BR / 3 BA — 1 Month OP & 1 Month FreeSpacious, elegant, and majestic, this enormous 2125 sqft apartment features marble counter tops, Viking stainless steel appliances, bamboo floors and cabinets, deluxe bathrooms, featuring standing glass showers and beautiful soaking tub options, walk-in closets, and sweeping views of the Hudson River. Just as exquisite as it is practical, this gorgeous apartment is the epitome of Manhattan real estate heaven!Welcome to Liberty Luxe and Liberty Green, beautifully set against the backdrop of Battery Park City's breathtaking gardens, landmarks, parks, recreation, and the storied Hudson River Promenade. These two magnificent new Green residences are changing the definition of sustainable New York luxury rental living, as they have achieved LEED Gold standards, the environmental responsibility is apparent throughout the design, materials, systems and amenities.Liberty Luxe and Liberty Green offer the ultimate in sophistication and service, including fully-attended lobbies, spacious, beautifully designed homes, top finishes, panoramic city and river views, and coveted social and recreational amenities. Discover our complimentary resident only fitness center! The club also offers a private screening room, a phenomenal billiards room, two private massage therapy rooms, and more!Visit our Leasing Office at 200 North End Ave (Open 7 Days a week)|Community Recreation Facilities                                              Concierge                                              Green Building                                              Gym                                              Live-in Super                                              Parking Available|Ferry                   at World Financial Center Ferry Landing            0.14 miles|A          C          E          2          3          PATH                   at World Trade Center            0.35 miles
1558667680-73|https://streeteasy.com/for-rent/downtown?page=6&sort_by=sqft_desc|145 6th Avenue #4A|3 beds|3 baths|Condo in Hudson Square|3,300 ft²|145 6th Avenue #4A|https://streeteasy.com/building/145-6-avenue-new_york/4a|↓              $24,000                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Part-time Doorman|Available Now|392 Days|SENSATIONAL LOFT -—AVAILABLE JUNE 15 --- SUMMER RENTAL 145 Sixth, The Epitome of Chic Modern Living The entrance foyer leads to this sensational and serene three bedroom, two home offices, three bathroom, 3300 square foot loft at 145 Sixth Avenue created by and home to a world renowned fashion designer. Two units in this highly desirable boutique condominium have been joined into a haven of luxury, style and the epitome of chic modern living and now available for a luxury furnished summer rental in prime Soho! Upon entering, one will be dazzled by the unique flooring which is completed in a one of a kind combination of pulverized mother of pearl and cement finished off in polyurethane. This lavish material, the personal creation of the owner, is also reflected on several walls throughout the residence creating a peaceful and warm atmosphere. The designer kitchen is finished in Boffi stainless steel, it features Corian counter tops, a chefs sink, Subzero stainless steel refrigerator, Miele dishwasher, Viking six burner stove with hood, and white lacquer Boffi cabinetry. Adding additional glamour is a custom Crystal Chandelier and custom ceiling light. The stunning and grand corner living room has spectacular views of Sixth Avenues SoHo Square with the neighborhoods pre-war buildings as the backdrop --- with two walls of enormous windows offering breathtaking light and city vistas throughout the day. There are 12 foot beamed ceilings throughout the residence, walls of 8 foot windows, twenty in total, flood the home with light. There are 15 custom floor-to-ceiling closets, the residence has custom oak pocket doors and imported Rimadesio doors throughout. The master bedroom is a magical oasis with a white floating Boffi tub made of Corian, separate exceptional Boffi shower, and two designer finished walk-in closets. The master bedroom leads to a home office and nanny's quarters with walls of custom oak closets and upper cabinetry. A separate laundry room and two extra home offices make this home one you can grow into. Abundant storage throughout as well as a private storage closet in the common hallway. Part-time doorman and pet friendly. This residence is a gorgeous home and a must see!|Laundry in Building                                              Storage Available|C          E                   at Spring St            under 500 feet|1                   at Canal St            0.18 miles
1558667513-40|https://streeteasy.com/for-rent/downtown?page=8&sort_by=sqft_desc|67 Franklin Street #2B|3 beds|3 baths|Condo in Tribeca|2,990 ft²|67 Franklin Street #2B|https://streeteasy.com/building/cast-iron-house/2b|$16,500                for rent|Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|22 Days|"The first rental at the Shigeru Ban designed Cast Iron House Condominium. Sprawling three bedroom, three bath duplex residence with direct elevator entry and northern exposure overlooking historic Franklin Street. The soaring 17'7""double height main living area creates a dramatic room with airy, light-filled volume, enhanced by massive 6'x10' windows. Interiors, custom-designed by Shigeru Ban, complement the light, open design with grand room proportions and flexible living spaces including a large library/bedroom with full bath, and a second level study overlooking the great room below. The kitchen, which opens to the 28'5"" x 28'0"" great room, features custom white matte lacquer cabinetry, Calacatta Lincoln slab marble countertops, Gaggenau gas cook top with externally vented hood, Gaggenau refrigerator in custom white matte lacquer finish, Gaggenau steam oven, Gaggenau under-counter wine cooler, and Dornbracht fixtures. The five fixture master bath features a custom Corian vanity with full incorporated sink, Bianco Dolomiti marble walls and floors, 71"" Kaldewei Classic Duo Oval soaking tub, thermostatic temperature control, and radiant heated floors. 5"" wide plank white oak flooring throughout. Year-round multi-zone heating and air conditioning; side by side Miele washing machine and externally vented dryer. 67 Franklin Street is home to 11 duplex residences and two magnificent penthouses giving this condominium conversion a boutique living feel while offering a host of amenities including, a 24-hour doorman, fitness center by the Wright Fit, dance/yoga studio, hydrotherapy spa, treatment room, steam/sauna room, resident lounge, playroom, bicycle storage and courtyard."|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Package Room                                              Storage Available|J          N          Q          R          Z          6          W                   at Canal St            0.16 miles|1                   at Franklin St            0.18 miles
1558667541-45|https://streeteasy.com/for-rent/downtown?page=8&sort_by=sqft_desc|15 Broad Street #3930|3 beds|3 baths|Condo in Financial District|3,000 ft²|15 Broad Street #3930|https://streeteasy.com/building/downtown-by-philippe-starck/3930|$13,384                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|Available Now|43 Days|We are Now Offering 1 Month Free on a 12 Month Lease! (The 2nd month is free)Net price based on 1 Month Free = $13,384The Actual Price per month = $14,500Downtown living at its finest! This Spectacular three bedroom three bathroom duplex spread perched atop the 39th and 40th floor of this sought after address defines penthouse living in New York. Spanning at 3,000 square feet, the two story compound offers 3 massive bedrooms and 3 full bathrooms. An inviting entry foyer leads into the open living room area with breathtaking water views. Each well proportioned bedroom has windows strategically placed offering maximum sunlight as well as given expansive views of lower Manhattan. A restaurant sized kitchen and massive dining room allows for the perfect entertaining situation as you impress your guests with the finest living downtown has to offer. Residents also have access to the building's swimming and reflecting pools; a fully-equipped fitness center; yoga/ballet room; basketball and squash courts; theater, bowling alley; business center; sports lounge; recreation and children's rooms; and an incredible 5000-sf roof terrace.For more information or to schedule a private showing please contact me anytime.|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Live-in Super                                              Swimming Pool|J          Z                   at Broad St            under 500 feet|2          3                   at Wall St            under 500 feet
1558667749-90|https://streeteasy.com/for-rent/downtown?page=5&sort_by=sqft_desc|155 Franklin Street #4N|null|3 baths|Condo in Tribeca|3,532 ft²|155 Franklin Street #4N|https://streeteasy.com/building/155-franklin-street-new_york/4n|$33,000                for rent|Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/30/2019|26 Days|Unparalleled scale and quality on the best block and one of the most prestigious buildings in TriBeCa. This exceptional loft seamlessly combines pre-war loft charm and modern design.The Great Room, with corner exposures illuminated by 6 oversized north and east facing windows, is perfect for entertaining. Adorned with a fireplace, the sprawling living and dining space maintains a cozy and inviting feel. The open kitchen culminates the ideal atmosphere for hosting big bashes or casual meals at the breakfast bar. Viking and Sub-Zero appliances, a double door refrigerator, large island, vented hood, wine refrigerator, stone countertops and sleek white lacquer Italian cabinets make this a culinary dream. The expansive master bedroom at 34×16’ offers an enviable dressing room and private sitting area. The glorious en suite five-piece bathroom features Carrara marble throughout, a deep soaking tub, double sink vanity, and separate stand-up shower. Classic original details of the loft include cast iron columns, exposed brick, and 10.5’ high wood beamed ceilings. Modern conveniences include central air conditioning, a vented washer/dryer, custom lighting and AV system, abundant custom closets, and a storage unit. 155 Franklin Street is a boutique elevator condominium situated in historic TriBeCa. The intimate star-studded building offers an exclusive environment. In keeping with the low-key style of a traditional loft building, there are only nine units and a virtual doorman. The area is surrounded by acclaimed restaurants, such as Locanda Verde, high-end shopping, the delightful Hudson River Park, excellent schools, beautiful hotels, and a dozen subway lines.|Laundry in Building                                              Virtual Doorman|1                   at Franklin St            under 500 feet|A          C          E                   at Canal St            0.19 miles
1558667638-63|https://streeteasy.com/for-rent/downtown?page=7&sort_by=sqft_desc|56 Crosby #4B|2 beds|3 baths|Condo in Soho|3,200 ft²|56 Crosby #4B|https://streeteasy.com/building/56-crosby-street-new_york/4b|$17,500                for rent|Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|75 Days|This stunning, 3200 square foot 2 bedroom corner loft overlooks cobble-stoned Crosby Street in the heart of the Soho Cast Iron Historic District.The sprawling, 1500 sq foot great room receives beautiful natural light from 15 over-sized windows. Numerous options await you while setting up this incredible entertaining space. Approximately 13' ceilings throughout and classic loft details like cast-iron Corinthian columns add to the profound size of this area. Tucked away off the great room is a spacious, custom kitchen by Boffi with Carrera marble island, Gaggenau stove, Subzero refrigerator, Bosch dishwasher and built-in wine cooler.Both bedrooms are ample in size, feature full, en-suite bathrooms and large walk-in closets. Either room can accommodate a king sized bedroom set-up. The master bedroom windows are adorned by gorgeous, European style, white shutters. Open them up in the morning and let the golden sunlight from south and east exposures flood the room. The master bathroom boasts a Kohler cast iron soaking tub, a separate glass shower, double vanity and Segny gold limestone floors.There is a 3rd full bathroom off the great room, a laundry room with extra closet space, central air conditioning, and built-in speakers throughout the loft.Located in a boutique condominium, privacy is the name of the game with only 9 total units and only one other apartment on your floor. There is a 24/7 doorman, key locked elevator, and super on site Monday through Friday. Experience Soho's classic restaurants like Balthazaar, Lucky Strike and Raoul's, savor pastries at La Mercerie, and try out beloved newcomers Le Coucou and King. Dean and Deluca, premiere health and Yoga clubs and Soho's finest shopping are also right out your door!Pets case by case.|Central Air Conditioning                                              Dishwasher                                              Loft|6                   at Spring St            under 500 feet|N          R          W                   at Prince St            0.14 miles
1558667677-72|https://streeteasy.com/for-rent/downtown?page=6&sort_by=sqft_desc|134 Charles Street #PHB|3 beds|3 baths|Townhouse in West Village|3,300 ft²|134 Charles Street #PHB|https://streeteasy.com/building/134-charles-street-new_york/phb|$35,000                for rent|null|Available Now|106 Days|This extraordinary full-floor penthouse residence in a rare 51-foot-wide West Village townhouse is laden with refined upscale appointments and adorned with luxurious furnishings. The expansive, impeccably-designed 3,300 SF+/- of living space features 3 bedrooms with the option for a fourth, 3 en-suite bathrooms, and magnificent sun-filled main rooms. Complementing the interior space is a private 1,000 SF+/- south-facing landscaped terrace, perfect for seamless indoor-outdoor living. Voluminous ceilings of up to 14 feet and oversized glass windows and glass doors create the ultimate feel of loft-like airiness. The open-concept floorplan features a great room with a fireplace, a separate dining room, and a gourmet kitchen graced by top-of-the-line appliances. The generously-sized master suite is a tranquil retreat with garden views, a walk-in closet, bonus room, and spa bathroom. The north wing of the home presents 2 additional bedroom suites and a spacious library or fourth bedroom with a wood burning fireplace. A laundry room with washer and dryer and central air conditioning optimize your comfort.Located a mere block from the Hudson River on one of the city’s finest townhouse streets, this exquisite home melds the best of modern design and luxury with the warmth, integrity and intimacy of West Village living.The West Village reflects the charm of Old New York with its cobblestoned streets and restored historic buildings; yet it’s also a chic, fashionable living destination. Nestled between Flatiron and the Financial District, this vibrant neighborhood offers proximity to Hudson River Park, the new downtown Whitney Museum anchoring Manhattan’s new cultural hub, designer boutiques, trendy cafes and restaurants, plus many other attractions. Residents also typically enjoy breathtaking views of the city skyline and sunsets over the Hudson River thanks to the area’s primary composition of single-family and low-story buildings.|Central Air Conditioning                                              Dishwasher                                              Fireplace|PATH                   at Christopher Street Station            under 500 feet|1                   at Christopher St            0.27 miles
1558667530-43|https://streeteasy.com/for-rent/downtown?page=8&sort_by=sqft_desc|285 West 11th Street|null|3 baths|Townhouse in West Village|3,000 ft²|285 West 11th Street|https://streeteasy.com/rental/2710296|↓              $25,000                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/1/2019|22 Days|NEW TO MARKET—-Showstopper Townhouse! Over 3000sqft of gorgeous townhouse living in the best West Village location! This amazingly bright and private corner home consists of three levels and private entry foyer, 4 bedrooms, 3 full baths, private deck off the kitchen, and a large bonus den/living space. In addition to the sun-kissed voluminous 37' open concept floorplan, some great features include: 2 woodburning fireplaces, central a/c, a chef's kitchen with a wide Subzero fridge and a vented Viking range, laundry room, storage, en suite renovated bath, separate soaking tub and dual walk-in closets in the master bedroom, security intercom system and built -in speakers perfect for Sonos for the entire house. Just steps off Bleecker street and West 11th, this one-of-a-kind home is on one of the prettiest blocks in all of Manhattan. Shooting for June 1st or thereabouts occupancy. Pets OK|Laundry in Building                                              Storage Available|1                   at Christopher St            0.22 miles|PATH                   at Christopher Street Station            0.23 miles
1558668558-254|https://streeteasy.com/for-rent/downtown?page=15&sort_by=sqft_desc|70 Little West Street #10B|null|3 baths|Condo in Battery Park City|2,130 ft²|70 Little West Street #10B|https://streeteasy.com/building/the-visionaire/rental/2732237|$16,000                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|Available Now|10 Days|Welcome home to this magnificent loft-like 11 ft ceiling 4-bedroom 3 bath unit in the Visionaire Condominium! With exposures from the North, East and West, this sun-drenched floor to ceiling windowed CORNER unit has spectacular views of the Freedom Tower and partial views of the Hudson river. The generous sized open kitchen accompanied by top of the line finishes, is perfect for entertaining guests. To the right side of the expansive living space is a flex room currently being used as a media room which can easily be turned into a formal dining room or fourth bedroom. The perfect floor plan creates a separate wing for the master bedroom and second bedroom for additional privacy. The master bedroom has a huge custom-built walk-in closet as well as an en suite master bath with a large soaking tub and framed glass shower. The apartment also comes with a washer/dryer in the unit along with 2 full-sized refrigerators. In addition to the ample closets in the unit, theres also a storage unit (3×4×8) in the cellar. More over, windows are equipped with motorized shades and closets are all beautifully customized. Designed by the world-renowned architect Pelli Clarke Pelli, The Visionaire is Manhattan's first LEED Platinum certified residential property (filtered air, water and energy efficiency) with heavy focus on incorporating both the latest conservation and environmental technologies to provide a clean and healthy living environment. This ultra-luxurious condominium provides 24-hour doorman/concierge, resident lounge with billiards table and tv, fitness center with classes, yoga studio, childrens playroom, bike storage, full-sized sky-lit indoor multi-lane lap pool and hot tub, sauna, jacuzzi, steam room, massage room, furnished rooftop garden terrace with BBQ grill and breathtaking views, and a 24-hr parking garage. Surrounded by parks and the Hudson River promenade, BPC is beautiful all year round. The world-class shopping mall at Brookfield Place and the numerous restaurant choices at Westfield are just minutes away. The R,1,4,5, trains are all easily accessible along with a complementary shuttle bus service that provides transportation to South Street Seaport, Brookfield Place, Financial District and Tribeca every 20 minutes, 7 days a week. Pet friendly.|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Garage Parking                                              Green Building                                              Gym                                              Laundry in Building                                              Live-in Super                                              Parking Available                                              Storage Available                                              Swimming Pool|1                   at Rector St            0.22 miles|R          W                   at Rector St            0.23 miles
1558668486-237|https://streeteasy.com/for-rent/downtown?page=16&sort_by=sqft_desc|475 Fdr Dr L405/406|null|3 baths|Co-op in Lower East Side|2,050 ft²|475 Fdr Dr L405/406|https://streeteasy.com/building/east-river-coop-477-fdr-drive-new_york/l405406|$8,500                for rent|Cats Only - No Dogs                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman|7/1/2019|93 Days|Available July 1, 2019! Cats welcome! Theres nothing left for you to do but move into this spacious, fully-renovated home with 4 bedrooms, 3 full baths, a huge dining room and separate full sized living room.The kitchen is a gourmets delight with all stainless steel appliances: a 6-burner Viking gas range with double-oven, double sinks, two Kitchen Aid dishwashers, full-sized Whirlpool refrigerator with a matching full-sized freezer, and an in-wall convection / microwave oven. Sealing the deal are the three kitchen windows (including one that looks out upon the balcony and river/bridge view) plus new wall & floor tiles, and overhead, recessed soffit lighting.The kitchen flows seamlessly into the large, 12×18 sun-filled dining room with overhead chandelier. The opposite end of the kitchen opens to a cozy breakfast nook and foyer leading to the large living room and the 4 bedrooms.The outdoor space provides gorgeous river and bridge views. You will love the stunning sunrises and the amazing night views.All three full bathrooms are renovated top-to bottom with new floor & wall tiles, lighting, and fixtures. The master bedroom – with large closet space – has an en suite bathroom.Other apartment features including overhead lighting in every room, newly refinished hardwood parquet floors throughout and plenty of closets including a HUGE, walk-in storage closet large enough for bikes(!), a pantry and so much more.All the place needs is you!Amenities (additional fees and wait lists may apply) include 24-hour attended lobbies, 2 large private parks, children's playroom (plus access to neighboring Hillman co-op's park and playroom), community room, and fully equipped fitness center. 1 block to supermarket, 24hr deli/convenience store, dry cleaner and more. Short walk to recently opened Trader Joe's and Target! M14A, M21 & M22 bus stops outside your door, and short walk to M14D providing direct access to Chinatown, Little Italy, East Village, SoHo, West Village, Financial District, Battery Park City, Union Square, Chelsea, Meat Packing and Kips Bay. J, M and F trains at Delancey & Essex Streets. F train at East Broadway & Rutgers Streets. Citibike stations nearby.|Co-purchase Allowed                                      Gifts Allowed                                      Guarantors Allowed                                      Parents Buying Allowed                                      Pied-a-Terre Allowed|F          J          M          Z                   at Delancey St-Essex St            0.6 miles|F                   at East Broadway            0.64 miles
1558668425-220|https://streeteasy.com/for-rent/downtown?page=17&sort_by=sqft_desc|77 Washington Place #16|1 bed|3 baths|Townhouse in Greenwich Village|2,000 ft²|77 Washington Place #16|https://streeteasy.com/building/77-west-washington-place-new_york/16|↓              $23,000                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|40 Days|This is a listing for the opportunity to rent both the Carriage House (#6) AND the One-Bedroom Apartment (#1) together with the internal garden that connects them. Since the one-bedroom apartments has an entrance right from the main lobby of the building, the unit is also suitable for a variety of permitted home professions. Absolutely unique!CARRIAGE HOUSE:The carriage house of the prestigious renovation project 77 Washington Place was developed as a separate apartment. Soaring ceilings, a wood-burning fireplace (yes it works!), gourmet kitchen with wine cooler and refrigerator with ice-cube maker, Miele washer and dryer, walnut floors, central air condition and heating with different zones controlled by Nest thermostats, marble bathrooms with heated floors and a private small garden with BBQ grill and refrigerator await you!This will be the first rental of this building ever, after a comprehensive renovation. ONE BEDROOM:Large ground floor 1 bedroom in the prestigious 77 Washington Place development. Enjoy your working wood-burning fireplace! Elegant walnut floors throughout. A gourmet kitchen with Miele dishwasher, wine cooler and refrigerator with ice-cube maker. Your private Miele washer and dryer.Central air condition and heating with different zones controlled by Nest thermostats, a marble bathroom with heated floor and a private small garden await you! In addition, you will enjoy your private BBQ Grill and refrigerator on the roof deck of the building, accessible by elevator!Building features a common area roof deck, bike racks with electric outlets, basement storage, 24 hour virtual doorman, security system, water filter system (so you can drink the water from the faucet without impurities or chlorine taste), cabling for high-speed internet.|Bike Room                                              Community Recreation Facilities                                              Package Room                                              Storage Available                                              Virtual Doorman|A          C          E          B          D          F          M                   at West 4th St            under 500 feet|PATH                   at 9th Street Station            0.14 miles
